id,device_fingerprint,malware,infected_at,has_session_cookie,os,status
dev:live:427d9532be3e26a2,dfp:live:427d9532be3e26a2,unknown,,false,unknown,observed
dev:live:19f80065284e5a78,dfp:live:19f80065284e5a78,unknown,,false,unknown,observed
dev:live:94e6230ef9464e2b,dfp:live:94e6230ef9464e2b,unknown,,false,unknown,observed
dev:live:cef8a165393053c3,dfp:live:cef8a165393053c3,unknown,,false,unknown,observed
dev:live:46f50f6ee1817670,dfp:live:46f50f6ee1817670,unknown,,false,unknown,observed
dev:live:aba1e01f4148956a,dfp:live:aba1e01f4148956a,unknown,,false,unknown,observed
dev:live:de2c7117ad3e73a7,dfp:live:de2c7117ad3e73a7,unknown,,false,unknown,observed
dev:live:910f7af915fd498d,dfp:live:910f7af915fd498d,unknown,,false,unknown,observed
dev:live:966b353b057840b9,dfp:live:966b353b057840b9,unknown,,false,unknown,observed
dev:live:4a9f9bd8b7b3c074,dfp:live:4a9f9bd8b7b3c074,unknown,,false,unknown,observed
dev:live:b143a9ae30331e92,dfp:live:b143a9ae30331e92,unknown,,false,unknown,observed
dev:live:0024245f0aa08ee2,dfp:live:0024245f0aa08ee2,unknown,,false,unknown,observed
dev:live:fa60fe109c1a03f3,dfp:live:fa60fe109c1a03f3,unknown,,false,unknown,observed
dev:live:2225f2093106404a,dfp:live:2225f2093106404a,unknown,,false,unknown,observed
dev:live:7fe5f7872cc0882f,dfp:live:7fe5f7872cc0882f,unknown,,false,unknown,observed
dev:live:5ba2bc96250673db,dfp:live:5ba2bc96250673db,unknown,,false,unknown,observed
dev:live:3898136e5212aff9,dfp:live:3898136e5212aff9,unknown,,false,unknown,observed
dev:live:60dfd853d16448e5,dfp:live:60dfd853d16448e5,unknown,,false,unknown,observed
dev:live:0fd75a89fb6a6afe,dfp:live:0fd75a89fb6a6afe,unknown,,false,unknown,observed
dev:live:eb31c44473d53c68,dfp:live:eb31c44473d53c68,unknown,,false,unknown,observed
dev:live:a535b3bf83647110,dfp:live:a535b3bf83647110,unknown,,false,unknown,observed
dev:live:25ce83568ff169e0,dfp:live:25ce83568ff169e0,unknown,,false,unknown,observed
dev:live:3a00f88d87ceb7ee,dfp:live:3a00f88d87ceb7ee,unknown,,false,unknown,observed
dev:live:e8c5a87a2d38d846,dfp:live:e8c5a87a2d38d846,unknown,,false,unknown,observed
dev:live:2c8598e907dbf50d,dfp:live:2c8598e907dbf50d,unknown,,false,unknown,observed
dev:live:1ad3f881dd770396,dfp:live:1ad3f881dd770396,unknown,,false,unknown,observed
dev:live:f576e9d9a1c7b704,dfp:live:f576e9d9a1c7b704,unknown,,false,unknown,observed
